id,attributes,currency,price,product_id,store_id
30,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.89, ""estimated_cost_price"": 1835.99}",INR,2006,8,52
31,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.18, ""estimated_cost_price"": 1177.57}",INR,1369,9,14
32,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.62, ""estimated_cost_price"": 1612.96}",INR,1763,9,52
33,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.53, ""estimated_cost_price"": 1122.3}",INR,1395,10,5
34,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.13, ""estimated_cost_price"": 1271.9}",INR,1491,10,3
35,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.93, ""estimated_cost_price"": 1166.64}",INR,1406,10,48
36,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.67, ""estimated_cost_price"": 1271.72}",INR,1601,11,1
37,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.18, ""estimated_cost_price"": 1085.94}",INR,1363,11,12
38,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.59, ""estimated_cost_price"": 1174.8}",INR,1323,11,41
39,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.44, ""estimated_cost_price"": 640.6}",INR,808,12,53
40,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.76, ""estimated_cost_price"": 518.49}",INR,562,12,7
41,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.27, ""estimated_cost_price"": 965.9}",INR,1160,13,28
42,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.81, ""estimated_cost_price"": 777.84}",INR,859,13,22
43,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.17, ""estimated_cost_price"": 757.17}",INR,818,13,52
44,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.3, ""estimated_cost_price"": 305.5}",INR,344,14,49
45,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.81, ""estimated_cost_price"": 266.49}",INR,322,14,3
46,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.45, ""estimated_cost_price"": 237.68}",INR,281,14,38
47,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.42, ""estimated_cost_price"": 1361.3}",INR,1599,15,11
48,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.0, ""estimated_cost_price"": 1752.07}",INR,1947,15,45
49,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.59, ""estimated_cost_price"": 1352.96}",INR,1503,15,24
50,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.0, ""estimated_cost_price"": 1411.77}",INR,1751,15,36
51,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.53, ""estimated_cost_price"": 1954.21}",INR,2266,15,29
52,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.44, ""estimated_cost_price"": 135.44}",INR,151,16,1
53,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.49, ""estimated_cost_price"": 145.11}",INR,164,16,12
54,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.34, ""estimated_cost_price"": 8692.32}",INR,10898,17,45
55,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 3.95, ""estimated_cost_price"": 9573.72}",INR,10833,17,9
56,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.43, ""estimated_cost_price"": 9465.4}",INR,10446,17,14
57,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.76, ""estimated_cost_price"": 8446.4}",INR,10642,17,10
58,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 3.85, ""estimated_cost_price"": 9033.88}",INR,10694,17,41
59,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.59, ""estimated_cost_price"": 1115.34}",INR,1284,18,40
60,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.09, ""estimated_cost_price"": 1147.44}",INR,1246,18,6
61,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.6, ""estimated_cost_price"": 1112.0}",INR,1218,18,41
62,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.45, ""estimated_cost_price"": 926.15}",INR,1051,18,53
63,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.76, ""estimated_cost_price"": 868.04}",INR,1032,18,51
64,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.89, ""estimated_cost_price"": 295.18}",INR,332,19,49
65,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.57, ""estimated_cost_price"": 333.54}",INR,362,19,35
66,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.71, ""estimated_cost_price"": 368.98}",INR,422,19,33
67,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.87, ""estimated_cost_price"": 349.0}",INR,428,19,15
68,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 3.83, ""estimated_cost_price"": 405.08}",INR,456,20,32
69,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.64, ""estimated_cost_price"": 430.26}",INR,495,20,12
70,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.61, ""estimated_cost_price"": 433.88}",INR,505,20,11
71,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.89, ""estimated_cost_price"": 378.58}",INR,410,20,43
72,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.77, ""estimated_cost_price"": 431.14}",INR,502,20,3
73,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.47, ""estimated_cost_price"": 815.7}",INR,987,21,48
74,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.87, ""estimated_cost_price"": 659.4}",INR,720,21,4
75,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.7, ""estimated_cost_price"": 243.72}",INR,271,22,5
76,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 3.94, ""estimated_cost_price"": 304.73}",INR,345,22,16
77,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.21, ""estimated_cost_price"": 157.14}",INR,183,23,48
78,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.34, ""estimated_cost_price"": 107.57}",INR,134,23,44
79,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.68, ""estimated_cost_price"": 125.72}",INR,158,23,21
80,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.63, ""estimated_cost_price"": 919.95}",INR,1107,24,13
81,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.98, ""estimated_cost_price"": 739.42}",INR,909,24,25
82,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.09, ""estimated_cost_price"": 894.37}",INR,1079,24,15
83,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.5, ""estimated_cost_price"": 870.35}",INR,999,24,5
84,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.44, ""estimated_cost_price"": 794.06}",INR,868,24,31
85,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.63, ""estimated_cost_price"": 228.4}",INR,253,25,30
86,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.9, ""estimated_cost_price"": 265.46}",INR,301,25,47
87,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.52, ""estimated_cost_price"": 244.12}",INR,297,25,13
88,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.1, ""estimated_cost_price"": 3983.37}",INR,4619,26,18
89,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.75, ""estimated_cost_price"": 4592.43}",INR,5298,26,9
90,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.49, ""estimated_cost_price"": 5017.31}",INR,6182,27,49
91,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.55, ""estimated_cost_price"": 3629.75}",INR,4011,27,22
92,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.3, ""estimated_cost_price"": 4927.23}",INR,5627,27,15
93,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.66, ""estimated_cost_price"": 2058.77}",INR,2578,28,6
94,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.57, ""estimated_cost_price"": 1771.26}",INR,2132,28,27
95,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.24, ""estimated_cost_price"": 1992.75}",INR,2183,28,55
96,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.58, ""estimated_cost_price"": 2569.65}",INR,3102,29,48
97,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.17, ""estimated_cost_price"": 3398.23}",INR,4215,29,16
98,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.6, ""estimated_cost_price"": 3302.38}",INR,3914,29,21
99,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.0, ""estimated_cost_price"": 3754.09}",INR,4307,29,28
100,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.52, ""estimated_cost_price"": 3781.92}",INR,4822,29,38
101,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.62, ""estimated_cost_price"": 3594.45}",INR,4405,30,28
102,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.6, ""estimated_cost_price"": 3202.23}",INR,3739,30,34
103,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.49, ""estimated_cost_price"": 11197.4}",INR,12565,31,16
104,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.0, ""estimated_cost_price"": 11531.11}",INR,14694,31,6
105,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.98, ""estimated_cost_price"": 12044.32}",INR,14436,31,36
106,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.3, ""estimated_cost_price"": 10977.24}",INR,13985,31,49
107,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.48, ""estimated_cost_price"": 10620.17}",INR,11998,31,1
108,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.69, ""estimated_cost_price"": 1469.1}",INR,1835,32,11
109,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.84, ""estimated_cost_price"": 1836.57}",INR,2328,32,46
110,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.86, ""estimated_cost_price"": 1618.53}",INR,2067,32,30
111,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 3.95, ""estimated_cost_price"": 1880.35}",INR,2282,32,55
112,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.29, ""estimated_cost_price"": 4210.99}",INR,5114,33,46
113,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.76, ""estimated_cost_price"": 4023.94}",INR,4843,33,41
114,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.52, ""estimated_cost_price"": 3814.04}",INR,4420,33,1
115,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.42, ""estimated_cost_price"": 4711.44}",INR,5826,33,5
116,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.28, ""estimated_cost_price"": 5027.05}",INR,6231,33,25
117,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.23, ""estimated_cost_price"": 493.29}",INR,601,34,48
118,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.31, ""estimated_cost_price"": 565.85}",INR,681,34,4
119,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.44, ""estimated_cost_price"": 648.38}",INR,752,34,33
120,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 3.81, ""estimated_cost_price"": 757.73}",INR,848,34,44
121,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.33, ""estimated_cost_price"": 1117.89}",INR,1230,35,12
122,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.1, ""estimated_cost_price"": 1060.77}",INR,1298,35,42
123,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.42, ""estimated_cost_price"": 1004.62}",INR,1106,35,36
124,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.46, ""estimated_cost_price"": 1062.14}",INR,1349,35,46
125,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.19, ""estimated_cost_price"": 1149.3}",INR,1448,36,48
126,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.3, ""estimated_cost_price"": 1106.46}",INR,1333,36,49
127,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.47, ""estimated_cost_price"": 1059.09}",INR,1280,36,38
128,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.24, ""estimated_cost_price"": 1123.17}",INR,1369,36,45
129,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.1, ""estimated_cost_price"": 1038.88}",INR,1242,36,14
130,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.37, ""estimated_cost_price"": 3177.13}",INR,3475,37,32
131,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.17, ""estimated_cost_price"": 2357.7}",INR,2699,37,33
132,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.85, ""estimated_cost_price"": 2888.86}",INR,3445,37,34
133,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.53, ""estimated_cost_price"": 2317.04}",INR,2663,37,54
134,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.73, ""estimated_cost_price"": 2358.86}",INR,2802,37,8
135,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.84, ""estimated_cost_price"": 3174.28}",INR,3878,38,26
136,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.29, ""estimated_cost_price"": 2823.28}",INR,3273,38,12
137,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.93, ""estimated_cost_price"": 410.42}",INR,520,39,8
138,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.24, ""estimated_cost_price"": 486.68}",INR,533,39,45
139,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.82, ""estimated_cost_price"": 508.79}",INR,637,39,10
140,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 3.87, ""estimated_cost_price"": 344.21}",INR,397,39,32
141,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.28, ""estimated_cost_price"": 398.84}",INR,471,40,27
142,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.31, ""estimated_cost_price"": 412.47}",INR,510,40,29
143,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.13, ""estimated_cost_price"": 427.15}",INR,472,40,48
144,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.49, ""estimated_cost_price"": 391.03}",INR,446,40,42
145,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.71, ""estimated_cost_price"": 309.32}",INR,360,41,42
146,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 3.95, ""estimated_cost_price"": 293.82}",INR,362,41,51
147,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 3.92, ""estimated_cost_price"": 394.33}",INR,464,41,21
148,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.32, ""estimated_cost_price"": 303.14}",INR,372,41,32
149,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.56, ""estimated_cost_price"": 2473.62}",INR,2828,42,31
150,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.78, ""estimated_cost_price"": 2329.68}",INR,2823,42,24
151,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.85, ""estimated_cost_price"": 2209.51}",INR,2687,42,19
152,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.13, ""estimated_cost_price"": 76.99}",INR,89,43,46
153,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.09, ""estimated_cost_price"": 82.57}",INR,102,43,35
154,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.93, ""estimated_cost_price"": 87.98}",INR,99,43,19
155,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.88, ""estimated_cost_price"": 1135.9}",INR,1293,44,21
156,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.05, ""estimated_cost_price"": 834.62}",INR,1056,44,37
157,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.78, ""estimated_cost_price"": 861.37}",INR,964,45,14
158,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.31, ""estimated_cost_price"": 820.34}",INR,1010,45,36
159,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 3.85, ""estimated_cost_price"": 944.58}",INR,1197,45,46
160,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.4, ""estimated_cost_price"": 86.49}",INR,106,46,35
161,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 3.98, ""estimated_cost_price"": 95.38}",INR,118,46,11
162,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.02, ""estimated_cost_price"": 101.05}",INR,125,46,20
163,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.64, ""estimated_cost_price"": 89.15}",INR,96,46,8
164,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.76, ""estimated_cost_price"": 89.38}",INR,102,46,2
165,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.57, ""estimated_cost_price"": 2853.66}",INR,3317,47,31
166,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 3.87, ""estimated_cost_price"": 3092.31}",INR,3737,47,19
167,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.35, ""estimated_cost_price"": 3037.12}",INR,3781,47,49
