id,attributes,brand,description,name,sku,category_id
38,"{""rating"": 3.8, ""color"": ""Green"", ""variant"": ""Green"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": null}",Butterfly,Butterfly Vacuum Flask Lite Green in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Butterfly Vacuum Flask Lite Green,H&K-BUTT-BVFL-0038,2
39,"{""rating"": 4.6, ""color"": ""Grey"", ""variant"": ""10kg"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Best Seller""}",Mamaearth,Mamaearth Face Serum Core 10kg in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Mamaearth Face Serum Core 10kg,B-MAMA-MFSC-0039,4
40,"{""rating"": 3.6, ""color"": ""White"", ""variant"": ""Grey"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Limited Deal""}",Maybelline,Maybelline Face Wash Pro Grey in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Maybelline Face Wash Pro Grey,B-MAYB-MFWP-0040,4
41,"{""rating"": 4.3, ""color"": ""Green"", ""variant"": ""10kg"", ""is_prime_eligible"": false, ""warranty_months"": 6, ""amazon_style_tag"": null}",Yonex,Yonex Skipping Rope Plus 10kg in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Yonex Skipping Rope Plus 10kg,S-YONE-YSRP-0041,7
42,"{""rating"": 4.9, ""color"": ""Silver"", ""variant"": ""10kg"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Recommended""}",Adidas,Adidas Cycling Helmet Plus 10kg in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Adidas Cycling Helmet Plus 10kg,S-ADID-ACHP-0042,7
43,"{""rating"": 3.8, ""color"": ""Red"", ""variant"": ""Blue"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Limited Deal""}",Nivea,Nivea Hair Oil Neo Blue in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Nivea Hair Oil Neo Blue,B-NIVE-NHON-0043,4
44,"{""rating"": 3.9, ""color"": ""Silver"", ""variant"": ""10kg"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Recommended""}",Arihant,Arihant Aptitude Preparation Book Air 10kg in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,Arihant Aptitude Preparation Book Air 10kg,B-ARIH-AAPB-0044,6
45,"{""rating"": 4.1, ""color"": ""Grey"", ""variant"": ""5kg"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Top Rated""}",Pigeon,Pigeon Water Bottle Lite 5kg in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Pigeon Water Bottle Lite 5kg,H&K-PIGE-PWBL-0045,2
46,"{""rating"": 3.9, ""color"": ""Green"", ""variant"": ""Small"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": ""Best Seller""}",Tata,Tata Wheat Flour 10kg Lite Small in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Tata Wheat Flour 10kg Lite Small,G-TATA-TWF1-0046,5
47,"{""rating"": 3.6, ""color"": ""Green"", ""variant"": ""Medium"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": null}",Philips,Philips Induction Cooktop Pro Medium in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Philips Induction Cooktop Pro Medium,H&K-PHIL-PICP-0047,2
48,"{""rating"": 4.1, ""color"": ""Grey"", ""variant"": ""5kg"", ""is_prime_eligible"": false, ""warranty_months"": 6, ""amazon_style_tag"": ""Top Rated""}",Milton,Milton Storage Container Set Max 5kg in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Milton Storage Container Set Max 5kg,H&K-MILT-MSCS-0048,2
49,"{""rating"": 3.7, ""color"": ""Silver"", ""variant"": ""128GB"", ""is_prime_eligible"": false, ""warranty_months"": 6, ""amazon_style_tag"": ""Best Seller""}",Cello,Cello Vacuum Flask Prime 128GB in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Cello Vacuum Flask Prime 128GB,H&K-CELL-CVFP-0049,2
50,"{""rating"": 4.3, ""color"": ""Green"", ""variant"": ""Pink"", ""is_prime_eligible"": false, ""warranty_months"": 6, ""amazon_style_tag"": ""Recommended""}",Pearson,Pearson Cloud Computing Basics Plus Pink in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,Pearson Cloud Computing Basics Plus Pink,B-PEAR-PCCB-0050,6
51,"{""rating"": 3.8, ""color"": ""Pink"", ""variant"": ""128GB"", ""is_prime_eligible"": false, ""warranty_months"": 6, ""amazon_style_tag"": ""Top Rated""}",Allen Solly,Allen Solly Men's Casual Shirt Neo 128GB in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Allen Solly Men's Casual Shirt Neo 128GB,F-ALLE-ASMC-0051,3
52,"{""rating"": 4.6, ""color"": ""White"", ""variant"": ""White"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Limited Deal""}",HarperCollins,HarperCollins Aptitude Preparation Book Neo White in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,HarperCollins Aptitude Preparation Book Neo White,B-HARP-HAPB-0052,6
53,"{""rating"": 3.8, ""color"": ""Grey"", ""variant"": ""Silver"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Best Seller""}",Arihant,Arihant Cyber Security Essentials Core Silver in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,Arihant Cyber Security Essentials Core Silver,B-ARIH-ACSE-0053,6
54,"{""rating"": 4.0, ""color"": ""Black"", ""variant"": ""White"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": null}",Dove,Dove Hair Oil Pro White in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Dove Hair Oil Pro White,B-DOVE-DHOP-0054,4
55,"{""rating"": 4.4, ""color"": ""Grey"", ""variant"": ""Small"", ""is_prime_eligible"": false, ""warranty_months"": 24, ""amazon_style_tag"": ""Recommended""}",HP,HP Tablet Cover Plus Small in Electronics category with marketplace-style pricing dynamics and seasonal demand shifts.,HP Tablet Cover Plus Small,E-HP-HTCP-0055,1
56,"{""rating"": 3.7, ""color"": ""Blue"", ""variant"": ""10kg"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Top Rated""}",Levi's,Levi's Sneakers Max 10kg in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Levi's Sneakers Max 10kg,F-LEVI-LSM1-0056,3
57,"{""rating"": 4.2, ""color"": ""Pink"", ""variant"": ""White"", ""is_prime_eligible"": false, ""warranty_months"": 24, ""amazon_style_tag"": ""Best Seller""}",Aashirvaad,Aashirvaad Instant Noodles Pack Ultra White in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Aashirvaad Instant Noodles Pack Ultra White,G-AASH-AINP-0057,5
58,"{""rating"": 4.6, ""color"": ""Grey"", ""variant"": ""Red"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",Maybelline,Maybelline Moisturizer Plus Red in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Maybelline Moisturizer Plus Red,B-MAYB-MMPR-0058,4
59,"{""rating"": 3.5, ""color"": ""White"", ""variant"": ""10kg"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Best Seller""}",Arihant,Arihant Aptitude Preparation Book Pro 10kg in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,Arihant Aptitude Preparation Book Pro 10kg,B-ARIH-AAPB-0059,6
60,"{""rating"": 4.2, ""color"": ""Red"", ""variant"": ""10kg"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Limited Deal""}",Dettol,Dettol Detergent Powder 2kg Neo 10kg in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Dettol Detergent Powder 2kg Neo 10kg,G-DETT-DDP2-0060,5
61,"{""rating"": 4.2, ""color"": ""Silver"", ""variant"": ""Green"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Best Seller""}",Dove,Dove Moisturizer Lite Green in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Dove Moisturizer Lite Green,B-DOVE-DMLG-0061,4
62,"{""rating"": 4.4, ""color"": ""Red"", ""variant"": ""10kg"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Best Seller""}",Prestige,Prestige Storage Container Set Edge 10kg in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Prestige Storage Container Set Edge 10kg,H&K-PRES-PSCS-0062,2
63,"{""rating"": 3.7, ""color"": ""Silver"", ""variant"": ""Red"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": null}",Wonderchef,Wonderchef Vacuum Flask Prime Red in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Wonderchef Vacuum Flask Prime Red,H&K-WOND-WVFP-0063,2
64,"{""rating"": 3.6, ""color"": ""Red"", ""variant"": ""2L"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",Boat,Boat Mechanical Keyboard Edge 2L in Electronics category with marketplace-style pricing dynamics and seasonal demand shifts.,Boat Mechanical Keyboard Edge 2L,E-BOAT-BMKE-0064,1
65,"{""rating"": 4.3, ""color"": ""Silver"", ""variant"": ""Pink"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",Maybelline,Maybelline Face Wash Prime Pink in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Maybelline Face Wash Prime Pink,B-MAYB-MFWP-0065,4
66,"{""rating"": 4.2, ""color"": ""Red"", ""variant"": ""2L"", ""is_prime_eligible"": false, ""warranty_months"": 6, ""amazon_style_tag"": ""Limited Deal""}",Philips,Philips Air Fryer Edge 2L in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Philips Air Fryer Edge 2L,H&K-PHIL-PAFE-0066,2
67,"{""rating"": 4.2, ""color"": ""Silver"", ""variant"": ""Red"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Best Seller""}",McGraw Hill,McGraw Hill Machine Learning Handbook Ultra Red in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,McGraw Hill Machine Learning Handbook Ultra Red,B-MCGR-MHML-0067,6
68,"{""rating"": 4.2, ""color"": ""Silver"", ""variant"": ""256GB"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": null}",Realme,Realme Fitness Band Pro 256GB in Electronics category with marketplace-style pricing dynamics and seasonal demand shifts.,Realme Fitness Band Pro 256GB,E-REAL-RFBP-0068,1
69,"{""rating"": 3.9, ""color"": ""Red"", ""variant"": ""256GB"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": null}",Surf Excel,Surf Excel Wheat Flour 10kg Prime 256GB in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Surf Excel Wheat Flour 10kg Prime 256GB,G-SURF-SEWF-0069,5
70,"{""rating"": 4.2, ""color"": ""Silver"", ""variant"": ""5kg"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Recommended""}",Aashirvaad,Aashirvaad Detergent Powder 2kg Prime 5kg in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Aashirvaad Detergent Powder 2kg Prime 5kg,G-AASH-ADP2-0070,5
71,"{""rating"": 4.2, ""color"": ""Pink"", ""variant"": ""Red"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Limited Deal""}",Milton,Milton Induction Cooktop Air Red in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Milton Induction Cooktop Air Red,H&K-MILT-MICA-0071,2
72,"{""rating"": 3.8, ""color"": ""Silver"", ""variant"": ""Small"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": null}",Puma,Puma Cricket Bat Max Small in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Puma Cricket Bat Max Small,S-PUMA-PCBM-0072,7
73,"{""rating"": 4.8, ""color"": ""Black"", ""variant"": ""2L"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Best Seller""}",Nivia,Nivia Tennis Balls Set Edge 2L in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Nivia Tennis Balls Set Edge 2L,S-NIVI-NTBS-0073,7
74,"{""rating"": 4.3, ""color"": ""White"", ""variant"": ""10kg"", ""is_prime_eligible"": false, ""warranty_months"": 24, ""amazon_style_tag"": ""Top Rated""}",McGraw Hill,McGraw Hill Python Programming Book Ultra 10kg in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,McGraw Hill Python Programming Book Ultra 10kg,B-MCGR-MHPP-0074,6
75,"{""rating"": 3.7, ""color"": ""Silver"", ""variant"": ""Small"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",Maggi,Maggi Sunflower Oil 1L Neo Small in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Maggi Sunflower Oil 1L Neo Small,G-MAGG-MSO1-0075,5
76,"{""rating"": 4.3, ""color"": ""White"", ""variant"": ""Black"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": ""Limited Deal""}",Biotique,Biotique Perfume Air Black in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Biotique Perfume Air Black,B-BIOT-BPAB-0076,4
77,"{""rating"": 3.8, ""color"": ""White"", ""variant"": ""Grey"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": null}",Realme,Realme Fitness Band Ultra Grey in Electronics category with marketplace-style pricing dynamics and seasonal demand shifts.,Realme Fitness Band Ultra Grey,E-REAL-RFBU-0077,1
78,"{""rating"": 4.4, ""color"": ""Pink"", ""variant"": ""Large"", ""is_prime_eligible"": false, ""warranty_months"": 24, ""amazon_style_tag"": ""Limited Deal""}",Penguin,Penguin Cyber Security Essentials Core Large in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,Penguin Cyber Security Essentials Core Large,B-PENG-PCSE-0078,6
79,"{""rating"": 4.5, ""color"": ""White"", ""variant"": ""Pink"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": null}",Fortune,Fortune Detergent Powder 2kg Pro Pink in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Fortune Detergent Powder 2kg Pro Pink,G-FORT-FDP2-0079,5
